Tender ID,tender_externalreference,tender_title,Work Description,Tender Category,Tender Type,Form of contract,Product Category,Is Multi Currency Allowed For BOQ,Allow Two Stage Bidding,Independent External Monitor/Remarks,Published Date,Pre Bid Meeting Date,Bid Validity(Days),Should Allow NDA Tender,Allow Preferential Bidder,Payment Mode,Bid Opening Date,Organisation Chain,location,Pincode,No of Bids Received,Tender Value in ₹,Bidder Name,Awarded Value,Status,Contract Date :,Tender Stage,Department
2019_PNRD_14557_4,PDDP.117/2018/127 (Cachar),ReTender_Construction of 2 New G.P. Buildings at Cachar District under SoPD 2018-19,ReTender_Construction of 2 New G.P. Buildings at Cachar District under SoPD 2018-19,Works,Open Tender,Works,Construction Works,No,No,NA ,02-Jun-2020 05:00 PM,NA ,180.0,No ,No,Online,16-Jun-2020 02:00 PM,Principal Secretary- P and RD- Assam Secretariat||Commissioner- P and RD- PNRD,As per Annexure B,781037.0,2.0,"75,00,000",JALAL UDDIN BARBHUIYA,7462500.0,Accepted-AOC,09-Aug-2021,AOC,Principal Secretary- P and RD- Assam Secretariat||Commissioner- P and RD- PNRD
2021_DAASC_23257_2,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/89,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Duni- Pathorighat,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Duni- Pathorighat,Works,Open Tender,Works,Civil Works,No,Yes,NA ,23-Dec-2021 06:00 PM,,45.0,No ,No,Not Applicable,29-Dec-2021 12:00 PM,Directorate of Agriculture and Assam Seed Corporation,Darrang,781022.0,2.0,"60,00,000",GANPATI CONSTRUCTION COMPANY,3606806.39,Rejected-AOC,29-Mar-2022,AOC,Directorate of Agriculture and Assam Seed Corporation
2021_DAASC_23257_3,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/89,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Bechimari-Dalgaon,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Bechimari-Dalgaon,Works,Open Tender,Works,Civil Works,No,Yes,NA ,30-Oct-2021 02:00 PM,,45.0,No ,No,Not Applicable,16-Nov-2021 02:00 PM,Directorate of Agriculture and Assam Seed Corporation,Darrang,781022.0,2.0,"60,00,000",GANPATI CONSTRUCTION COMPANY,4418866.08,Rejected-Technical,07-Feb-2022,AOC,Directorate of Agriculture and Assam Seed Corporation
2021_DAASC_23257_5,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/89,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Panbari-Bhakatpara,Construction of office building of the ADO including sanitary-water supply and electrification works and supply of furniture at Panbari-Bhakatpara,Works,Open Tender,Works,Civil Works,No,Yes,NA ,24-Dec-2021 09:00 AM,,45.0,No ,No,Not Applicable,29-Dec-2021 12:00 PM,Directorate of Agriculture and Assam Seed Corporation,Darrang,781022.0,2.0,"60,00,000",AKD CONSTRUCTION & SUPPLIER,3628990.11,Rejected-AOC,29-Mar-2022,AOC,Directorate of Agriculture and Assam Seed Corporation
2022_AEGCL_27948_1,aegclGOHPUR,"Turnkey construction of 132KV NF Railway Traction Bay at 132KV Gohpur GSS, AEGCL including supply of bay equipment and line bay materials and associated works etc.","Turnkey Construction of 132kV N.F. Railway Traction Bay at 132kV Gohpur GSS, AEGCL including Supply of Bay Equipment and line bay materials and associated works etc.",Works,Open Tender,Turn-key,Electrical Works,No,No,NA ,30-Nov-2022 10:00 AM,NA ,180.0,No ,No,Online,19-Jan-2023 02:00 PM,Assam Electricity Grid Corporation Ltd||CGM (T and T),Gohpur,784168.0,2.0,,DILIP KUMAR SAIKIA,16887365.0,Rejected-Technical,01-Apr-2023,AOC,Assam Electricity Grid Corporation Ltd||CGM (T and T)
2022_AEGCL_28299_1,AEGCL/MD/Tech1030/CABLE/PKG-A,Supply of Power and Control Cables of 1100 V Class for Various Substations in Assam Package A,Supply of Power and Control Cables of 1100 V Class for Various Substations in Assam Package A,Works,Open Tender,Turn-key,Electrical Works,No,No,NA ,19-Dec-2022 12:00 PM,NA ,180.0,No ,No,Online,25-Jan-2023 02:00 PM,Assam Electricity Grid Corporation Ltd||CGM (T and T),Various locations in Assam,781001.0,2.0,,Assam Supply Syndicate,13332331.0,Rejected-Finance,13-Apr-2023,AOC,Assam Electricity Grid Corporation Ltd||CGM (T and T)
2022_AEGCL_28306_1,AEGCL/MD/Tech1030/CABLE/PKG B,Supply of Power and Control Cables of 1.1 kV Class for Various Substations in Assam (Package-B),Supply of Power and Control Cables of 1.1 kV Class for Various Substations in Assam (Package-B),Works,Open Tender,Turn-key,Electrical Works,No,No,NA ,19-Dec-2022 12:00 PM,NA ,180.0,No ,No,Online,25-Jan-2023 02:00 PM,Assam Electricity Grid Corporation Ltd||CGM (T and T),Various locations in Assam,781001.0,2.0,,KEI Industries Limited,33200202.66,Rejected-Finance,01-Apr-2023,AOC,Assam Electricity Grid Corporation Ltd||CGM (T and T)
2022_AEGCL_28415_1,AEGCL/MD/Tech1059/33NalKok/10,"Turnkey Construction of 02 Nos of 33kV Medical Bays, one each at 132kV Nalbari GSS and 132kV Kokrajhar GSS, AEGCL respectively","Turnkey Construction of 02 Nos of 33kV Medical Bays, one each at 132kV Nalbari GSS and 132kV Kokrajhar GSS, AEGCL respectively",Works,Open Tender,Turn-key,Electrical Works,No,No,NA ,23-Dec-2022 01:00 PM,NA ,180.0,No ,No,Online,04-Feb-2023 02:00 PM,Assam Electricity Grid Corporation Ltd||CGM (T and T),Nalbari and Kokrajhar,781001.0,2.0,,P & S CONSTRUCTION,14695543.0,Rejected-Finance,13-Apr-2023,AOC,Assam Electricity Grid Corporation Ltd||CGM (T and T)
2022_AHVD_27231_1,DVT-223/RIDF-XXVII (S)/Golaghat/2022-23/6,"Construction Assam Type Sub-Centre Building with electrification, Water supply and sanitary works etc at Morongi in Golaghat District","Construction Assam Type Sub-Centre Building with electrification, Water supply and sanitary works etc at Morongi in Golaghat District",Works,Open Tender,Item Rate,Civil Works - Building,No,No,NA ,29-Sep-2022 06:00 PM,07-Oct-2022 01:00 PM ,180.0,No ,No,Online,25-Oct-2022 02:30 PM,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary,Golaghat,785702.0,2.0,"33,71,000",Bibhuti Bhushan Bora,2629380.0,Accepted-AOC,26-Apr-2023,AOC,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary
2022_AHVD_27233_1,DVT-223/RIDF-XXVII (S)/Golaghat/2022-23/6,"Construction Assam Type Sub-Centre Building with electrification, Water supply and sanitary works etc. at Baruabamun Gaon in Golaghat District","Construction Assam Type Sub-Centre Building with electrification, Water supply and sanitary works etc. at Baruabamun Gaon in Golaghat District",Works,Open Tender,Item Rate,Civil Works,No,No,NA ,29-Sep-2022 06:00 PM,07-Oct-2022 01:00 PM ,180.0,No ,No,Online,25-Oct-2022 02:30 PM,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary,Golaghat,785614.0,2.0,"33,71,000",Bibhuti Bhushan Bora,2979945.0,Rejected-AOC,26-Apr-2023,AOC,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary
